case_id,source_record_id,case_name,case_number_or_citation,court_name,court_level,decision_date,decision_year,case_subtype,raw_length_chars,collection_status,exclusion_reason,include_signals,exclude_signals,quality_flags,related_case_group_id
KR_c081161e586322f6,8,,,unknown,unknown,2011-12-30,2011,medical_professional,5904,warning,,불법행위,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_0c32cb303a3e959e,9,,,unknown,unknown,1995-02-17,1995,medical_professional,2794,warning,,손해배상,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_53d0751b18be5236,28,,2006도2959,대구지방법원,supreme,2006-07-13,2006,traffic_accident,1716,fail,supreme_court_excluded;criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text,손해배상,supreme_court_excluded;criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text,
KR_4f201a1f4ff85e81,33,,2007도2085,unknown,unknown,2007-05-10,2007,traffic_accident,3516,fail,criminal_case;warning_unknown_court_level;warning_unknown_court_name,주의의무,criminal_case,warning_unknown_court_level;warning_unknown_court_name,
KR_95912a00906e5787,51,,2000다48265,unknown,supreme,1997-12-01,1997,traffic_accident,14137,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;불법행위,supreme_court_excluded,warning_unknown_court_name,
KR_36d95b0b67dfa82c,52,,,의정부지방법원 고양지원,trial,2020-11-07,2020,traffic_accident,2020,fail,criminal_case;warning_unknown_case_number,주의의무,criminal_case,warning_unknown_case_number,
KR_d6a832c84e6d2303,78,,,서울동부지방법원,trial,2010-03-12,2010,contract_only,1459,fail,contract_only;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_case_number,손해배상,contract_only;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_case_number,
KR_6e137ceda3b927fe,83,,,unknown,unknown,2019-10-21,2019,medical_professional,3297,warning,,손해배상;위자료;치료비;일실수입;주의의무,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_37e23dc1cf0c075e,100,,2001도606,unknown,unknown,2020-07-23,2020,medical_professional,9239,fail,criminal_case;family_only;procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name,치료비,criminal_case;family_only;procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name,
KR_6870b7227f072d0d,103,,,서울지방법원,trial,1997-11-18,1997,property_economic_harm,3798,warning,,손해배상;불법행위,,warning_unknown_case_number,
KR_0e92191386142e77,110,,,unknown,unknown,,,property_economic_harm,3735,fail,criminal_case;procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_919f0a5afd2dc79f,114,,2019가단339266,unknown,trial,2015-07-23,2015,property_economic_harm,1900,fail,criminal_case;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_name,손해배상,criminal_case;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_name,
KR_099840845aac3550,116,,,unknown,unknown,2020-04-29,2020,traffic_accident,1718,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_60356945318c3ef5,122,,2019다226432,unknown,supreme,2020-11-05,2020,traffic_accident,3703,fail,supreme_court_excluded;warning_unknown_court_name,손해배상,supreme_court_excluded,warning_unknown_court_name,
KR_9d64fc6e921c409f,126,,2008도7030,대법원,supreme,1996-01-26,1996,facility_product_safety,1337,fail,supreme_court_excluded;criminal_case;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,주의의무,supreme_court_excluded;criminal_case;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,
KR_7a0ea65c11497f75,129,,,unknown,unknown,1990-01-17,1990,property_economic_harm,4363,fail,criminal_case;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;불법행위;위자료,criminal_case,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_95d57783ca59c9d3,131,,,unknown,unknown,2019-03-29,2019,medical_professional,3139,warning,,손해배상,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_f83f66da720a207e,133,,2001다3658,대법원,supreme,2001-08-21,2001,traffic_accident,1289,fail,supreme_court_excluded;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,불법행위;사용자책임,supreme_court_excluded;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,
KR_874bd95d126e5326,148,,2007도5389,unknown,unknown,2020-01-03,2020,traffic_accident,4186,fail,criminal_case;warning_unknown_court_level;warning_unknown_court_name,주의의무,criminal_case,warning_unknown_court_level;warning_unknown_court_name,
KR_6eaf26d3d99a9dc2,153,,2011다63857,unknown,supreme,2020-07-31,2020,contract_only,3259,fail,supreme_court_excluded;contract_only;warning_unknown_court_name,손해배상,supreme_court_excluded;contract_only,warning_unknown_court_name,grp_e95ff3b564cc
KR_b3df16538ed238a6,157,,,unknown,unknown,2020-02-05,2020,traffic_accident,1490,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_6fee03bf61a03467,159,,2019가합33944,서울서부지방법원,trial,2014-01-07,2014,facility_product_safety,5841,pass,,손해배상,,,
KR_1e33c4b50d7fa029,161,,,서울지방법원,trial,1955-10-05,1955,property_economic_harm,3519,warning,,손해배상,,warning_unknown_case_number,
KR_5c941a49fe53c6ce,162,,,unknown,unknown,2012-02-15,2012,intentional_tort,2422,fail,procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,불법행위;위자료,procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_b5d1a4b20a8a9bff,166,,2002다50149,대전지방법원,supreme,1990-02-23,1990,traffic_accident,1805,fail,supreme_court_excluded;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text,손해배상;불법행위,supreme_court_excluded;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text,grp_b6d567f95b53
KR_ad55baf9db1cfcb1,168,,,unknown,unknown,2006-04-25,2006,traffic_accident,5724,warning,,손해배상;위자료;치료비;주의의무,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_5b28e01703e850d7,170,,2006도1813,unknown,unknown,2019-01-28,2019,property_economic_harm,2051,fail,criminal_case;procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name,위자료;치료비,criminal_case;procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name,
KR_038ddd3dbe47cc6f,173,,,unknown,unknown,,,unclear,1577,fail,administrative_only;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;불법행위,administrative_only;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_867f5ed109d88372,175,,,unknown,unknown,2018-10-16,2018,facility_product_safety,3673,fail,procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;불법행위,procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_bfe6b7a5febfff64,180,,2005다27195,unknown,supreme,2005-11-10,2005,personal_injury,4265,fail,supreme_court_excluded;warning_unknown_court_name,주의의무,supreme_court_excluded,warning_unknown_court_name,
KR_6b293b41b23230ff,189,,2006다35865,unknown,supreme,2020-09-14,2020,facility_product_safety,8209,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;불법행위;위자료,supreme_court_excluded,warning_unknown_court_name,
KR_2d46dd2d8a9f9de6,190,,,unknown,unknown,1915-05-09,1915,medical_professional,2192,warning,,위자료,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_2027f6fa714683e4,191,,,unknown,unknown,1988-03-22,1988,property_economic_harm,932,fail,too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,불법행위,too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_70fd664851b02c89,203,,,unknown,unknown,2007-05-10,2007,property_economic_harm,1289,fail,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_4bc1d6b796b9f0ee,204,,,unknown,unknown,2007-10-24,2007,medical_professional,2205,warning,,손해배상,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_efa15daf23656704,208,,2016년 158,unknown,unknown,2021-03-15,2021,medical_professional,9435,warning,,손해배상;불법행위,,warning_unknown_court_level;warning_unknown_court_name,
KR_596c0d3e85d3efad,221,,2003다64794,unknown,supreme,2017-10-25,2017,traffic_accident,4901,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;위자료;치료비;일실수입;주의의무,supreme_court_excluded,warning_unknown_court_name,
KR_b23fc49991576718,222,,2000다48272,서울고등법원,supreme,1980-01-15,1980,medical_professional,1866,fail,supreme_court_excluded;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,손해배상;불법행위;주의의무,supreme_court_excluded;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,
KR_2d3c5758f78937d5,226,,2011다111961,unknown,supreme,2016-11-24,2016,medical_professional,11142,fail,supreme_court_excluded;warning_unknown_court_name,위자료;치료비,supreme_court_excluded,warning_unknown_court_name,grp_e470a2b7e7b9
KR_4f7c3ec7c7a0eefa,229,,,unknown,unknown,2020-11-01,2020,traffic_accident,1685,fail,criminal_case;administrative_only;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;administrative_only;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_27f9cb7fa6762a54,238,,,unknown,unknown,2020-09-19,2020,traffic_accident,1422,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_12367b64a9e13f4f,240,,,창원지방법원 거창지원,trial,2020-05-29,2020,traffic_accident,1696,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_case_number,손해배상,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_case_number,
