language,surface_form,n_entries,concept_ids,provenance,primary_flags,review_action
ko,제조물책임,2,KR_PRODUCT_LIABILITY | US_PRODUCT_LIABILITY,source_exact | researcher_translation_candidate,1 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,product liability,2,KR_PRODUCT_LIABILITY | US_PRODUCT_LIABILITY,official_translation | source_exact,1 | 1,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,손해배상,2,KR_COMPENSATION_FOR_DAMAGES | US_DAMAGES,source_exact | researcher_translation_candidate,0 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,non-economic damages,2,KR_NON_ECONOMIC_DAMAGES | US_NONECONOMIC_DAMAGES,official_translation | source_variant,1 | 1,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,치료비,2,KR_MEDICAL_EXPENSES | US_MEDICAL_EXPENSES,corpus_candidate | researcher_translation_candidate,0 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,medical expenses,2,KR_MEDICAL_EXPENSES | US_MEDICAL_EXPENSES,researcher_translation_candidate | source_exact,0 | 1,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,향후 치료비,2,KR_FUTURE_MEDICAL_EXPENSES | US_FUTURE_MEDICAL_EXPENSES,corpus_candidate | researcher_translation_candidate,0 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,future medical expenses,2,KR_FUTURE_MEDICAL_EXPENSES | US_FUTURE_MEDICAL_EXPENSES,researcher_translation_candidate | corpus_candidate,0 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,property damage,2,KR_PROPERTY_DAMAGE | US_PROPERTY_DAMAGE,researcher_translation_candidate | source_exact,0 | 1,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,징벌적 손해배상,2,US_PUNITIVE_DAMAGES | US_EXEMPLARY_DAMAGES,researcher_translation_candidate | researcher_translation_candidate,0 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,항소,2,KR_APPEAL | US_APPEAL,source_exact | researcher_translation_candidate,1 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,appeal,2,KR_APPEAL | US_APPEAL,official_translation | source_exact,0 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,reverse,2,KR_REVERSAL | US_REVERSED,official_translation | source_exact,1 | 1,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,환송,2,KR_REMAND | US_REMAND,source_variant | researcher_translation_candidate,1 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
en,remand,2,KR_REMAND | US_REMAND,official_translation | source_exact,1 | 1,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
ko,소송기록,2,KR_LITIGATION_RECORD | US_RECORD,source_variant | researcher_translation_candidate,1 | 0,Resolve during development; do not allow two active primary concepts for the same literal surface unless intentionally multi-label.
