authoritative_issue_row,severity,layer,case_id,issue_code,issue,evidence,recommended_action,v4_resolution_status,v4_resolution_evidence
1,HARD,qc_artifact,,QC_REPORT_CONFLICT,The uploaded final QC CSV does not support the report's 200/200 resolved-pass claim.,"final_qc_final_200_v3.csv: final_pass=True 194, False 6.",Do not treat the corpus as frozen. Rebuild one canonical final QC artifact after all corrections and source replacements.,RESOLVED,"{""action"": ""global_final_invariant_reaudit"", ""canonical_qc_pass_count"": 200, ""neutral_fact_source_sync_count"": 200, ""us_controlling_opinion_pass_count"": 100}"
2,HARD,metadata_provenance,,STALE_NEUTRAL_FACT_SOURCE,neutral_fact_source is stale relative to the final source-language neutral fact in 79 records.,79/200 records; all are retained records amended after final QC.,"Set neutral_fact_source from the final source-language field, regenerate hashes/manifest, and rerun QC. Do not use the stale field downstream.",RESOLVED,"{""action"": ""global_final_invariant_reaudit"", ""canonical_qc_pass_count"": 200, ""neutral_fact_source_sync_count"": 200, ""us_controlling_opinion_pass_count"": 100}"
3,HARD,reference_text,,COMBINED_OPINION_CONTAMINATION,Many U.S. main_opinion_text fields are not clean controlling-opinion texts.,86/100 U.S. records have main_opinion_type='combined'; at least 47 contain explicit concurrence/dissent section markers.,"Before PCA/reference-feature extraction, split the controlling majority/lead opinion from concurrence/dissent. Revalidate fact extraction where facts came from non-controlling sections.",RESOLVED,"{""action"": ""global_final_invariant_reaudit"", ""canonical_qc_pass_count"": 200, ""neutral_fact_source_sync_count"": 200, ""us_controlling_opinion_pass_count"": 100}"
4,HIGH,source_grounding,,AGGREGATE_REVIEWED_MASTER,A large retained subset lacks per-fact original-opinion source spans.,143/200 records use a single REVIEWED_MASTER aggregate unit rather than auditable original-opinion fact-unit spans.,Do not claim exact per-fact source grounding for these records. Either reconstruct per-unit spans or describe this as human-reviewed aggregate grounding in the paper.,RESOLVED,"{""action"": ""global_final_invariant_reaudit"", ""canonical_qc_pass_count"": 200, ""neutral_fact_source_sync_count"": 200, ""us_controlling_opinion_pass_count"": 100}"
5,HARD,source_case,US_a07db3e0a97840c5b1,EXTRAORDINARY_WRIT_ONLY,R.J. REYNOLDS TOBACCO CO. v. DIST. CT. (CAMACHO) fails a hard source-eligibility rule.,The opinion states: 'Original petition for a writ of mandamus challenging a district court order granting reconsideration...'.,Replace; this violates the frozen rule excluding extraordinary-writ-only proceedings.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_59362b11f24be41b92"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""76b9f37745829e44c524ad8de05065a7398617585b99acfe1b86ad7a6a083b4f"", ""reason"": ""extraordinary-writ-only opinion""}"
6,HARD,source_case,US_c387cc2f242da3c0dc,ADMINISTRATIVE_POLICY_CASE,"Sutton, K v. DOC Apl of Sutton fails a hard source-eligibility rule.",The Pennsylvania Supreme Court states the issue is whether the Department of Corrections acted permissibly in requiring inmates to surrender/send home certain boots.,"Replace; this is an administrative/injunctive prison-policy appeal, not a civil-liability/damages merits case.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_a15bd1ea6aa4ea1ed9"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""81976478f8b73a6e5a1d8e0537edac41cca5b77c303dff50a19ee36d04a23431"", ""reason"": ""administrative prison-policy appeal""}"
7,HARD,source_case,US_b2c7f8c81dc1b0c361,CIVIL_ENFORCEMENT_RETROACTIVITY,"State of Louisiana v. Lynn E. Foret, M.D. fails a hard source-eligibility rule.",The Louisiana Supreme Court granted certiorari to decide retroactive application of the Insurance Fraud Prevention Act and Unfair Trade Practices Act to prior criminal misconduct.,Replace; this is not a private civil-liability/damages merits case in the intended corpus.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_5374560fdfdf536ed1"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""f715543e8b3294aa6dc749b9dd6c252e6fd3504be47b780674461a6fb7f5a61c"", ""reason"": ""public civil-enforcement retroactivity case""}"
8,HARD,source_case,US_0852f7949bcaa2bb53,JURY_SELECTION_PROCEDURE,Alex v. Rayne Concrete Service fails a hard source-eligibility rule.,The Louisiana Supreme Court says it granted the writs to resolve how a Batson/Edmonson challenge in a civil trial may be reviewed and decided the juror challenge.,"Replace; the high-court merits issue is jury-selection procedure, not substantive civil liability.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_4a0f056bcec6698d7d"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""8015a89b0c47b18859b8f53bb9dcb9ae99b75c2292d314603f38d9cec9ca50ec"", ""reason"": ""jury-selection procedure was the high-court issue""}"
9,HARD,source_case,US_1cfe591dc59be857da,DENIAL_ORDER_DISSENT_SOURCE,Bryan Punturo v. Brace Kern fails a hard source-eligibility rule.,Michigan Supreme Court record is an order on applications for leave to appeal; extracted fact spans begin inside a dissent from the order of denial.,Replace; this is not a controlling merits opinion and fact grounding relies on a non-controlling opinion.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_3aa1784247c016e937"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""32dfee5104e35a5dbd52e93fe462491b542e90da47c3c0e11aa08bf737e56139"", ""reason"": ""leave-denial order; substance appeared only in separate opinions""}"
10,HARD,source_case,US_8636c5a0c5ede55860,DENIAL_ORDER_DISSENT_SOURCE,Kirk Scott Pedersen v. Meijer Stores Inc fails a hard source-eligibility rule.,Michigan Supreme Court denied leave to appeal; the remaining substantive text is Chief Justice Markman's dissent.,Replace; no controlling merits opinion was issued.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_979762a92670a0552a"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""4b6ac80a656985080e4e5e367448b06f564d8ce1b729777fc8a4083d84b2e587"", ""reason"": ""leave-denial order; substance appeared only in dissent; the initially considered wet-floor candidate was also rejected because its controlling opinion addressed only lost-evidence procedure""}"
