case_id,source_grounding_status,mandatory_factual_sufficiency_status,legal_leakage_status,procedural_leakage_status,jurisdiction_leakage_status,language_sanity_status,placeholder_equivalence_status,duplicate_sentence_status,numerical_unit_status,translation_equivalence_status,semantic_hard_fail,manual_review_required,final_pass
KR_0f2fb4048fdd1b2ba6,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_3e400c529b48b85317,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_5be8caa54d55da9c2d,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_6623c47ec5cdef48bc,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_872d527b52dfbd5927,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_882ce243b36c889fda,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_9dad33b6d6293b40f2,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_a41002435a915c75d1,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_ab2b68c40724d0aa92,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_adf561060b125d6b87,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_bcc14552a5ebdd0945,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_c2567a4fb9e71fc1f7,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_c93d64dedb05abdc5b,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_d7658dab9202d2e025,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_e841c27e080fa0659c,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
KR_fdfefa335ed21439c0,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_00df5ba88ee9d43fd5,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_04cf5031ab373b2ef6,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_061c987e5f6b8cf2e8,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_0b0596e3f457282cc2,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_143504a555ba2b1572,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_193fdb5b19590cbcab,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_1aba36d98e0653f066,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_1cfe591dc59be857da,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_231c5e7fb867d9b8c2,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_37fae4c5d51bff450a,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_43352148b1cf063f58,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_45c1de8fa5ac8eefab,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_4bf2e6511806b25f10,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_512d2cb96959fe1764,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_5334a4131f192eab74,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_60f81ce937468b4218,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_6ba935b9156e1996aa,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_73b5710930ed47d628,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_7f556627654c5d3f9a,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_8026310f8d6a3819bd,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_8636c5a0c5ede55860,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_8f953fe2f1a7911efc,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_94f469d91f6b1c555d,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_98be2374bed153f34a,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_99f0f4ac29a4da2463,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_9acb209b5020b6dec4,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_9b0dcb923fdb190dd3,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_9dc742b4409b555931,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_a07db3e0a97840c5b1,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_b24ef2018816af9946,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
