source_id,jurisdiction,source_type,title,publisher,url,use_in_pipeline
KR_KLRI_DICT_2022,KR,institutional_legal_dictionary,English Dictionary of Korean Legal Terms (2022),Korea Legislation Research Institute (KLRI),https://elaw.klri.re.kr/eng_service/publish.do,Seed-source registry; verify individual terms against statutes/cases where possible.
KR_CIVIL_ACT,KR,official_statute_translation,"Civil Act, Chapter V Torts",KLRI Statutes of the Republic of Korea,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,Primary seed for Korean tort doctrine/remedy terminology and official English renderings.
KR_PRODUCT_LIABILITY_ACT,KR,official_statute_translation,Product Liability Act,KLRI Statutes of the Republic of Korea,https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,Primary seed for Korean product-liability doctrine and treble-damages terminology.
KR_CIVIL_PROCEDURE_ACT,KR,official_statute_translation,Civil Procedure Act,KLRI Statutes of the Republic of Korea,https://elaw.klri.re.kr/kor_service/lawViewContent.do?hseq=55220,Seed for Korean procedural terminology and official English renderings.
KR_SC_CAUSATION_2015,KR,supreme_court_case,Supreme Court 2015Da210194,Supreme Court of Korea,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=5072,Example source for 상당인과관계 and damages-limitation vocabulary.
KR_SC_FAULT_2022,KR,supreme_court_case,Supreme Court case summary on fault set-off / liability limitation,Supreme Court of Korea,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,Example source for 과실상계 and 책임제한.
KR_SC_DAMAGES_2022,KR,supreme_court_case,Supreme Court 2022Da227688 press release,Supreme Court of Korea,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=702&searchOption=&searchWord=&seqnum=1213,Example source for 일실수입 and 위자료.
US_WEX_NEGLIGENCE,US_GENERIC,academic_legal_dictionary,Wex: negligence,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/negligence,Generic U.S. tort doctrine seed.
US_WEX_PROXIMATE_CAUSE,US_GENERIC,academic_legal_dictionary,Wex: proximate cause,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/proximate_cause,Generic U.S. causation seed.
US_WEX_PUNITIVE,US_GENERIC,academic_legal_dictionary,Wex: punitive damages,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/punitive_damages,Punitive-damages/remedy seed.
US_WEX_COMPARATIVE,US_GENERIC,academic_legal_dictionary,Wex: comparative negligence,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/comparative_negligence,Comparative/contributory-fault terminology seed.
US_WEX_PRODUCT,US_GENERIC,academic_legal_dictionary,Wex: product liability,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/product_liability,Product-liability doctrine seed.
US_WEX_STRICT,US_GENERIC,academic_legal_dictionary,Wex: strict liability,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/strict_liability,Strict-liability doctrine seed.
US_WEX_NEG_PER_SE,US_GENERIC,academic_legal_dictionary,Wex: negligence per se,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/negligence_per_se,Negligence-per-se doctrine seed.
US_WEX_VICARIOUS,US_GENERIC,academic_legal_dictionary,Wex: vicarious liability,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/vicarious_liability,Vicarious-liability/respondeat-superior seed.
US_WEX_DAMAGES,US_GENERIC,academic_legal_dictionary,Wex: damages,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/damages,Generic U.S. damages/remedies seed.
US_WEX_COMPENSATORY,US_GENERIC,academic_legal_dictionary,Wex: compensatory damages,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/compensatory_damages,Compensatory/actual/nominal damages seed.
US_WEX_NOMINAL,US_GENERIC,academic_legal_dictionary,Wex: nominal damages,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/nominal_damages,Nominal-damages seed.
US_WEX_INJUNCTION,US_GENERIC,academic_legal_dictionary,Wex: injunction,Cornell Legal Information Institute,https://www.law.cornell.edu/wex/injunction,Equitable-remedy extension seed.
US_COURTS_GLOSSARY,US_GENERIC,official_court_glossary,Glossary of Legal Terms,Administrative Office of the U.S. Courts,https://www.uscourts.gov/glossary,Procedure-term seed; federal-specific terms must be filtered out.
CA_CACI_2026,US_CA,official_state_jury_instructions,"Judicial Council of California Civil Jury Instructions (CACI), 2026 Edition",Judicial Branch of California,https://courts.ca.gov/partners/california-jury-instructions/civil-jury-instructions-resource-center/civil-jury-instructions,State-specific validation/expansion after state selection; CA-only terms are not generic U.S.
DEV_CORPUS,BOTH,held_out_development_corpus,Held-out KR/U.S. development judgments,Research corpus,,"Required for party-argument patterns, surface variants, and false-positive/false-negative review."
RESEARCHER_TRANSLATION,BOTH,researcher_translation_candidate,Researcher-proposed bilingual surface form,Research team,,Not authoritative. Retain only if observed/validated in development data.
