surface_id,concept_id,language,surface_form,match_type,provenance,source_id,source_locator,ambiguity,primary_include,orientation_include,longest_match_priority,overlap_policy,status,note,version
S0001,KR_TORT_CIVIL_ACT,ko,민법상 불법행위,literal,source_exact,KR_CIVIL_ACT,Art. 750,low,1,1,8,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0002,KR_TORT_CIVIL_ACT,en,tort liability under the Civil Act,literal,researcher_translation_candidate,KR_CIVIL_ACT,Art. 750,low,0,0,34,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0003,KR_UNLAWFUL_ACT,ko,위법한 행위,literal,source_exact,KR_CIVIL_ACT,Art. 750,low,1,0,6,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0004,KR_UNLAWFUL_ACT,ko,위법행위,literal,source_variant,KR_CIVIL_ACT,Art. 750,low,1,0,4,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0005,KR_UNLAWFUL_ACT,en,unlawful act,literal,official_translation,KR_CIVIL_ACT,Art. 750,low,1,0,12,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0006,KR_INTENT_OR_NEGLIGENCE,ko,고의 또는 과실,literal,source_exact,KR_CIVIL_ACT,Art. 750,low,1,0,8,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0007,KR_INTENT_OR_NEGLIGENCE,en,intentionally or negligently,literal,official_translation,KR_CIVIL_ACT,Art. 750,low,1,0,28,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0008,KR_INTENT_OR_NEGLIGENCE,en,wilfully or negligently,literal,official_translation_variant,KR_CIVIL_ACT,Art. 750,low,1,0,23,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0009,KR_SUPERVISOR_LIABILITY,ko,감독자책임,literal,source_variant,KR_CIVIL_ACT,Art. 755,low,1,0,5,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0010,KR_SUPERVISOR_LIABILITY,ko,감독의무,literal,source_variant,KR_CIVIL_ACT,Art. 755,low,1,0,4,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0011,KR_SUPERVISOR_LIABILITY,en,supervisor's liability,literal,official_translation,KR_CIVIL_ACT,Art. 755,low,1,0,22,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0012,KR_SUPERVISOR_LIABILITY,en,legal duty to supervise,literal,official_translation,KR_CIVIL_ACT,Art. 755,low,1,0,23,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0013,KR_EMPLOYER_LIABILITY,ko,사용자의 배상책임,literal,source_exact,KR_CIVIL_ACT,Art. 756,low,1,0,9,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0014,KR_EMPLOYER_LIABILITY,ko,사용자책임,literal,source_variant,KR_CIVIL_ACT,Art. 756,low,1,0,5,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0015,KR_EMPLOYER_LIABILITY,en,employer's liability for compensation,literal,official_translation,KR_CIVIL_ACT,Art. 756,low,1,0,37,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0016,KR_EMPLOYER_LIABILITY,en,employer's liability for damages,literal,official_translation_variant,KR_CIVIL_ACT,Art. 756,low,1,0,32,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0017,KR_JOINT_TORT,ko,공동불법행위,literal,source_exact,KR_CIVIL_ACT,Art. 760,low,1,1,6,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0018,KR_JOINT_TORT,en,joint torts,literal,official_translation_candidate,KR_CIVIL_ACT,Art. 760,low,0,0,11,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0019,KR_RIGHT_OF_REIMBURSEMENT,ko,구상권,literal,source_exact,KR_CIVIL_ACT,Art. 756(3),low,1,0,3,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0020,KR_RIGHT_OF_REIMBURSEMENT,en,right to obtain reimbursement,literal,official_translation,KR_CIVIL_ACT,Art. 756(3),low,1,0,29,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0021,KR_RIGHT_OF_REIMBURSEMENT,en,right of reimbursement,literal,source_variant,KR_CIVIL_ACT,Art. 756(3),low,1,0,22,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0022,KR_ADEQUATE_CAUSATION,ko,상당인과관계,literal,source_exact,KR_SC_CAUSATION_2015,2015Da210194,low,1,1,6,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0023,KR_ADEQUATE_CAUSATION,en,adequate causal relationship,literal,researcher_translation_candidate,KR_SC_CAUSATION_2015,2015Da210194,low,0,0,28,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0024,KR_ADEQUATE_CAUSATION,en,adequate causation,literal,researcher_translation_candidate,KR_SC_CAUSATION_2015,2015Da210194,low,0,0,18,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0025,KR_CONTRIBUTORY_FAULT_SET_OFF,ko,과실상계,literal,source_exact,KR_SC_FAULT_2022,case summary,low,1,1,4,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0026,KR_CONTRIBUTORY_FAULT_SET_OFF,en,set-off of negligence,literal,researcher_translation_candidate,KR_SC_FAULT_2022,case summary,low,0,0,21,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0027,KR_CONTRIBUTORY_FAULT_SET_OFF,en,comparative fault set-off,literal,researcher_translation_candidate,KR_SC_FAULT_2022,case summary,low,0,0,25,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0028,KR_LIABILITY_LIMITATION,ko,책임제한,literal,source_exact,KR_SC_FAULT_2022,case summary,low,1,0,4,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0029,KR_LIABILITY_LIMITATION,ko,손해배상책임을 제한,literal,source_variant,KR_SC_FAULT_2022,case summary,low,1,0,10,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0030,KR_LIABILITY_LIMITATION,en,limitation of liability,literal,researcher_translation_candidate,KR_SC_FAULT_2022,case summary,low,0,0,23,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0031,KR_PRODUCT_LIABILITY,ko,제조물책임,literal,source_exact,KR_PRODUCT_LIABILITY_ACT,Art. 3,low,1,0,5,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0032,KR_PRODUCT_LIABILITY,ko,제조물 책임,literal,source_variant,KR_PRODUCT_LIABILITY_ACT,Art. 3,low,1,0,6,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0033,KR_PRODUCT_LIABILITY,en,product liability,literal,official_translation,KR_PRODUCT_LIABILITY_ACT,Art. 3,low,1,0,17,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0034,KR_MANUFACTURING_DEFECT,ko,제조상의 결함,literal,source_exact,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(a),low,1,0,7,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0035,KR_MANUFACTURING_DEFECT,en,defect in manufacturing,literal,official_translation,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(a),low,1,0,23,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0036,KR_DESIGN_DEFECT,ko,설계상의 결함,literal,source_exact,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),low,1,0,7,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0037,KR_DESIGN_DEFECT,en,defect in design,literal,official_translation,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),low,1,0,16,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0038,KR_INDICATION_DEFECT,ko,표시상의 결함,literal,source_exact,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(c),low,1,0,7,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0039,KR_INDICATION_DEFECT,en,defect in indication,literal,official_translation,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(c),low,1,0,20,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0040,KR_REASONABLE_ALTERNATIVE_DESIGN,ko,합리적인 대체설계,literal,source_exact,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),low,1,0,9,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0041,KR_REASONABLE_ALTERNATIVE_DESIGN,en,reasonable alternative design,literal,official_translation,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),low,1,0,29,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0042,KR_EXPECTED_PRODUCT_SAFETY,ko,통상적으로 기대할 수 있는 안전성,literal,source_exact,KR_PRODUCT_LIABILITY_ACT,Art. 2(2),low,1,0,18,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0043,KR_EXPECTED_PRODUCT_SAFETY,en,safety ordinarily expected of a product,literal,official_translation,KR_PRODUCT_LIABILITY_ACT,Art. 2(2),low,1,0,39,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0044,US_NEGLIGENCE,en,negligence,literal,source_exact,US_WEX_NEGLIGENCE,entry,low,1,0,10,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0045,US_NEGLIGENCE,ko,과실책임,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0046,US_DUTY_OF_CARE,en,duty of care,literal,source_exact,US_WEX_NEGLIGENCE,Legal Duty of Care,low,1,0,12,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0047,US_DUTY_OF_CARE,ko,주의의무,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,Legal Duty of Care,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0048,US_BREACH_OF_DUTY,en,breach of duty,literal,source_exact,US_WEX_NEGLIGENCE,Breach of Duty of Care,low,1,0,14,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0049,US_BREACH_OF_DUTY,ko,주의의무 위반,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,Breach of Duty of Care,low,0,0,7,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0050,US_REASONABLE_PERSON,en,reasonable person,literal,source_exact,US_WEX_NEGLIGENCE,Legal Duty of Care,low,1,0,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0051,US_REASONABLE_PERSON,ko,합리적 사람,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,Legal Duty of Care,low,0,0,6,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0052,US_REASONABLE_CARE,en,reasonable care,literal,source_exact,US_WEX_NEGLIGENCE,entry,low,1,0,15,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0053,US_REASONABLE_CARE,ko,합리적인 주의,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,entry,low,0,0,7,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0054,US_FORESEEABILITY,en,foreseeability,literal,source_exact,US_WEX_NEGLIGENCE,entry,low,1,0,14,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0055,US_FORESEEABILITY,en,foreseeable,literal,source_exact,US_WEX_NEGLIGENCE,entry,low,1,0,11,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0056,US_FORESEEABILITY,ko,예견가능성,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,entry,low,0,0,5,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0057,US_PROXIMATE_CAUSE,en,proximate cause,literal,source_exact,US_WEX_PROXIMATE_CAUSE,entry,low,1,1,15,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0058,US_PROXIMATE_CAUSE,en,proximate causation,literal,source_variant,US_WEX_PROXIMATE_CAUSE,entry,low,1,1,19,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0059,US_PROXIMATE_CAUSE,ko,근접원인,literal,researcher_translation_candidate,US_WEX_PROXIMATE_CAUSE,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0060,US_PROXIMATE_CAUSE,ko,근인,literal,researcher_translation_candidate,US_WEX_PROXIMATE_CAUSE,entry,low,0,0,2,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0061,US_PROXIMATE_CAUSE,ko,법적 인과관계,literal,researcher_translation_candidate,US_WEX_PROXIMATE_CAUSE,entry,low,0,0,7,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0062,US_CAUSE_IN_FACT,en,cause in fact,literal,source_exact,US_WEX_NEGLIGENCE,Cause-In-Fact,low,1,1,13,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0063,US_CAUSE_IN_FACT,en,cause-in-fact,literal,source_exact,US_WEX_NEGLIGENCE,Cause-In-Fact,low,1,1,13,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0064,US_CAUSE_IN_FACT,ko,사실적 인과관계,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,Cause-In-Fact,low,0,0,8,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0065,US_BUT_FOR_CAUSATION,en,but-for causation,literal,source_variant,US_WEX_NEGLIGENCE,Cause-In-Fact,low,1,0,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0066,US_BUT_FOR_CAUSATION,en,but for causation,literal,source_variant,US_WEX_NEGLIGENCE,Cause-In-Fact,low,1,0,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0067,US_BUT_FOR_CAUSATION,en,but-for test,literal,source_variant,US_WEX_NEGLIGENCE,Cause-In-Fact,low,1,0,12,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0068,US_BUT_FOR_CAUSATION,ko,but-for 인과관계,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,Cause-In-Fact,low,0,0,12,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0069,US_SUBSTANTIAL_FACTOR,en,substantial factor test,literal,source_exact,US_WEX_PROXIMATE_CAUSE,entry,low,1,0,23,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0070,US_SUBSTANTIAL_FACTOR,en,substantial factor,literal,source_exact,US_WEX_PROXIMATE_CAUSE,entry,low,1,0,18,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0071,US_SUBSTANTIAL_FACTOR,ko,실질적 요인,literal,researcher_translation_candidate,US_WEX_PROXIMATE_CAUSE,entry,low,0,0,6,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0072,US_SUPERSEDING_CAUSE,en,superseding cause,literal,source_exact,US_WEX_PROXIMATE_CAUSE,entry,low,1,1,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0073,US_SUPERSEDING_CAUSE,ko,초월적 개입원인,literal,researcher_translation_candidate,US_WEX_PROXIMATE_CAUSE,entry,low,0,0,8,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0074,US_INTERVENING_CAUSE,en,intervening cause,literal,source_variant,US_WEX_NEGLIGENCE,Proximate Cause,low,1,1,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0075,US_INTERVENING_CAUSE,en,intervening factor,literal,source_exact,US_WEX_NEGLIGENCE,Proximate Cause,low,1,1,18,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0076,US_INTERVENING_CAUSE,ko,개입원인,literal,researcher_translation_candidate,US_WEX_NEGLIGENCE,Proximate Cause,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0077,US_NEGLIGENCE_PER_SE,en,negligence per se,literal,source_exact,US_WEX_NEG_PER_SE,entry,low,1,1,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0078,US_NEGLIGENCE_PER_SE,ko,법규위반에 의한 과실,literal,researcher_translation_candidate,US_WEX_NEG_PER_SE,entry,low,0,0,11,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0079,US_COMPARATIVE_NEGLIGENCE,en,comparative negligence,literal,source_exact,US_WEX_COMPARATIVE,entry,low,1,1,22,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0080,US_COMPARATIVE_NEGLIGENCE,en,comparative fault,literal,source_variant,US_WEX_COMPARATIVE,entry,low,1,1,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0081,US_COMPARATIVE_NEGLIGENCE,ko,비교과실,literal,researcher_translation_candidate,US_WEX_COMPARATIVE,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0082,US_PURE_COMPARATIVE_NEGLIGENCE,en,pure comparative negligence,literal,source_exact,US_WEX_COMPARATIVE,Pure Comparative Negligence,low,1,1,27,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0083,US_PURE_COMPARATIVE_NEGLIGENCE,en,pure comparative fault,literal,source_variant,US_WEX_COMPARATIVE,Pure Comparative Negligence,low,1,1,22,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0084,US_PURE_COMPARATIVE_NEGLIGENCE,ko,순수 비교과실,literal,researcher_translation_candidate,US_WEX_COMPARATIVE,Pure Comparative Negligence,low,0,0,7,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0085,US_MODIFIED_COMPARATIVE_NEGLIGENCE,en,modified comparative negligence,literal,source_exact,US_WEX_COMPARATIVE,Modified Comparative Negligence,low,1,1,31,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0086,US_MODIFIED_COMPARATIVE_NEGLIGENCE,en,modified comparative fault,literal,source_variant,US_WEX_COMPARATIVE,Modified Comparative Negligence,low,1,1,26,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0087,US_MODIFIED_COMPARATIVE_NEGLIGENCE,ko,수정 비교과실,literal,researcher_translation_candidate,US_WEX_COMPARATIVE,Modified Comparative Negligence,low,0,0,7,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0088,US_CONTRIBUTORY_NEGLIGENCE,en,contributory negligence,literal,source_exact,US_WEX_COMPARATIVE,Contributory Negligence,low,1,1,23,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0089,US_CONTRIBUTORY_NEGLIGENCE,ko,기여과실,literal,researcher_translation_candidate,US_WEX_COMPARATIVE,Contributory Negligence,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0090,US_VICARIOUS_LIABILITY,en,vicarious liability,literal,source_exact,US_WEX_VICARIOUS,entry,low,1,0,19,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0091,US_VICARIOUS_LIABILITY,en,imputed liability,literal,source_exact,US_WEX_VICARIOUS,entry,low,1,0,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0092,US_VICARIOUS_LIABILITY,ko,대위책임,literal,researcher_translation_candidate,US_WEX_VICARIOUS,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0093,US_RESPONDEAT_SUPERIOR,en,respondeat superior,literal,source_exact,US_WEX_VICARIOUS,entry,low,1,1,19,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0094,US_RESPONDEAT_SUPERIOR,ko,respondeat superior 원칙,literal,researcher_translation_candidate,US_WEX_VICARIOUS,entry,low,0,0,22,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0095,US_STRICT_LIABILITY,en,strict liability,literal,source_exact,US_WEX_STRICT,entry,low,1,0,16,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
