surface_id,concept_id,category,concept_family,jurisdiction_scope,orientation_layer,language,surface_form,match_type,provenance,ambiguity,primary_include,orientation_include,source_id,source_locator,source_url,status,note,version
S0001,KR_TORT_CIVIL_ACT,doctrine,TORT_LIABILITY,KR,KR_specific,ko,민법상 불법행위,literal,source_exact,low,1,1,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0002,KR_TORT_CIVIL_ACT,doctrine,TORT_LIABILITY,KR,KR_specific,en,tort liability under the Civil Act,literal,researcher_translation_candidate,low,0,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0003,KR_UNLAWFUL_ACT,doctrine,UNLAWFUL_CONDUCT,KR,shared,ko,위법한 행위,literal,source_exact,low,1,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0004,KR_UNLAWFUL_ACT,doctrine,UNLAWFUL_CONDUCT,KR,shared,ko,위법행위,literal,source_variant,low,1,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0005,KR_UNLAWFUL_ACT,doctrine,UNLAWFUL_CONDUCT,KR,shared,en,unlawful act,literal,official_translation,low,1,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0006,KR_INTENT_OR_NEGLIGENCE,doctrine,FAULT_BASIS,KR,shared,ko,고의 또는 과실,literal,source_exact,low,1,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0007,KR_INTENT_OR_NEGLIGENCE,doctrine,FAULT_BASIS,KR,shared,en,intentionally or negligently,literal,official_translation,low,1,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0008,KR_INTENT_OR_NEGLIGENCE,doctrine,FAULT_BASIS,KR,shared,en,wilfully or negligently,literal,official_translation_variant,low,1,0,KR_CIVIL_ACT,Art. 750,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0009,KR_SUPERVISOR_LIABILITY,doctrine,SUPERVISORY_LIABILITY,KR,KR_specific,ko,감독자책임,literal,source_variant,low,1,0,KR_CIVIL_ACT,Art. 755,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0010,KR_SUPERVISOR_LIABILITY,doctrine,SUPERVISORY_LIABILITY,KR,KR_specific,ko,감독의무,literal,source_variant,low,1,0,KR_CIVIL_ACT,Art. 755,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0011,KR_SUPERVISOR_LIABILITY,doctrine,SUPERVISORY_LIABILITY,KR,KR_specific,en,supervisor's liability,literal,official_translation,low,1,0,KR_CIVIL_ACT,Art. 755,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
