case_id,case_family_id,origin_country,origin_state,court_name,court_level,decision_date,case_number_or_citation,primary_domain,liability_theories,domain_review_status,domain_evidence,source_case_id,lower_court_supplemented,neutral_fact_source_language,neutral_fact_ko_chars,neutral_fact_en_chars,source_grounding_status,legal_leakage_status,procedural_leakage_status,jurisdiction_leakage_status,translation_equivalence_status,language_sanity_status,duplicate_sentence_status,text_review_provenance,replacement_status,replacement_reason,analysis_split,raw_text_sha256,neutral_fact_source_sha256,neutral_fact_ko_sha256,neutral_fact_en_sha256
KR_0dcfdd46d74a8951e1,FAM_ea55f8dbe250db29,KR,,대법원,supreme,2007-05-31,2007다248,other_civil_liability,"[""임무해태에 따른 채무불이행책임"", ""신원보증인의 손해배상책임""]",independent_agreement,"[""이사장의 임무를 해태한 데에 중대한 과실이 있는 경우에는 조합에 대하여 손해배상책임을 진다고 할 것이고"", ""피고 1에게 신용협동조합 임원으로서의 조합에 대한 채무불이행책임을 인정한 원심의 판단은 정당하고"", ""신용협동조합 이사장의 조합에 대한 임무해태로 인한 손해배상책임은 일반 불법행위책임이 아니라 위임관계로 인한 채무불이행책임""]",68700,False,ko,794,1656,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,development,9fc1a9ca17256ea00e0fefe3d8cff0a192133cb356619e7fa514f961b674649d,c72f57bd1e1fcdd776082d0424d89310ab5f0bbfda0caabbf82b5068604a5591,c72f57bd1e1fcdd776082d0424d89310ab5f0bbfda0caabbf82b5068604a5591,ab6a60eb7f56b69ddac187f2f79d8ce7e3de2352c8e4b4fceb7c97681558e121
KR_0f2fb4048fdd1b2ba6,FAM_43633eb190c299b7,KR,,대법원,supreme,2008-07-24,2007다80657,medical_professional_liability,"[""의료상의 과실"", ""고칼륨혈증에 대한 진단 및 치료 지연"", ""저산소성 뇌손상에 대한 인과관계""]",independent_agreement,"[""의사가 진찰·치료 등의 의료행위를 함에 있어서는 사람의 생명·신체·건강을 관리하는 업무의 성질에 비추어 환자의 구체적 증상이나 상황에 따라 위험을 방지하기 위하여 필요한 최선의 조치를 다하여야 할 주의의무가 있고"", ""피고 병원 의료진이 1998. 12. 11. 01:51경부터 07:16경까지 원고 1에게 어떠한 검사도 시행하지 아니하는 등 고칼륨혈증에 대한 진단 및 치료를 지연한 과실로 인하여 저산소혈증이 발생 내지 확대되어 저산소성 뇌손상을 유발하였다고 판단한 원심의 조치""]",64945,False,ko,791,1671,pass,pass,pass,pass,pass,pass,pass,replacement_generation_and_direct_qc_v3,replacement_v3,"The opinion concerns contractual nonperformance and calculation of expectation damages under a construction agreement, making it a contract-only payment/damages dispute rather than a qualifying tort-liability domain.",confirmatory,122656e573fbae0e93b95a4fb9d58145c208e2a560588476f0a05077bb03ddbc,955fccaaa7e8e6a7639a97187dfffbe54a3d2764d38ff07316e785a3c4870e92,955fccaaa7e8e6a7639a97187dfffbe54a3d2764d38ff07316e785a3c4870e92,e3904193bb29e02ba97b2e297d7d6f564052ded960e54bf7a49d3574e6e52919
KR_12b9dc4aa1ee6e184c,FAM_e22080c9f3dbef0d,KR,,대법원,supreme,2007-04-26,2005다24318,general_negligence_personal_injury,"[""미성년 가해학생 부모의 보호감독책임"", ""학교 교장·교사의 보호감독의무 위반에 따른 책임"", ""공동불법행위책임"", ""국가배상책임""]",accepted_primary,"[""가해학생들의 폭행 등 괴롭힘과 망인의 자살 사이에는 상당인과관계가 있다 할 것이다."", ""위 피고들과 피고 경기도에게 공동불법행위자로서의 손해배상책임을 인정한 것은 정당한 것으로 수긍이 간다."", ""피고 경기도는 국가배상법 제2조 제1항에 의하여 그 소속 공무원인 소외 1, 소외 2의 위와 같은 공무수행상의 과실로 인하여 망인 및 원고들이 입은 손해를 배상할 책임이 있다고 판단하였다.""]",85045,False,ko,473,1026,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,7aaa724e8f9016b591b49caa2ca4504f4bcde6ac0bc0d04b8b5bbd8d5891d8d7,8ea6371b1f41e8d7dc93483a9426ddaea4e332c3eb1b36a7f5e2c31712ba0cbb,8ea6371b1f41e8d7dc93483a9426ddaea4e332c3eb1b36a7f5e2c31712ba0cbb,18a523098725a5e860c6c303ce033be3ed63d0780b7ae40f917de871b94fc323
KR_13b881769bf8928779,FAM_a0d82c4a2db7ec56,KR,,대법원,supreme,2013-09-13,2013다37722,general_negligence_personal_injury,"[""학교의 학생 보호·감독의무 위반"", ""응급구호체계 미비에 따른 과실책임"", ""상당인과관계"", ""손해배상 및 일실수입·개호비""]",accepted_primary,"[""이 사건 사고는 ○○중학교가 합숙훈련 과정에서의 훈련일정과 응급구호체계 미비 등으로 인하여 훈련에 참가한 학생을 보호, 감독할 의무를 위반하여 발생한 것이라고 봄이 상당하다고 판단하였다."", ""거기에 과실책임이나 상당인과관계에 관한 법리를 오해하거나""]",172482,False,ko,554,1113,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,376ec68c236a7c85efb6541cb482cc7682004744660244b4977ce617a3797f33,6e67b8e3068c4bb5c5b49ad2834eb13162fba0d1fef91914b6e1a0faa4496a98,6e67b8e3068c4bb5c5b49ad2834eb13162fba0d1fef91914b6e1a0faa4496a98,d3082e66a61ede5b7447be6bd38ffd33e8186eb00265d1a8b6f4f22bc45587bf
KR_15f616454feb5baced,FAM_527615ccdf0ad19e,KR,,대법원,supreme,2018-12-28,2016다33196,general_negligence_personal_injury,"[""학교법인의 안전배려의무 위반에 따른 채무불이행책임"", ""지도교사의 주의의무 위반에 따른 과실책임"", ""과실상계""]",accepted_primary,"[""유도부 지도교사들이 이러한 주의의무를 게을리한 과실로 인해 원고가 상해를 입었다고 판단하였다."", ""손해배상소송에서 과실 비율의 인정은 그것이 형평의 원칙에 비추어 현저히 불합리하지 아니하는 한 사실심법원의 전권사항에 속한다""]",204219,False,ko,307,608,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,development,f0cecc8b7c050327ac0ba9531b992d12b57e323b5b147d425c87fd22e79f84d7,83ab4560e203e458b11934504d3414b0112dca6871c32c4da77b97289bd983be,83ab4560e203e458b11934504d3414b0112dca6871c32c4da77b97289bd983be,a6cf8b61ac7a4e56b4c4b36840916c881bf49529fed0fb737bc9a1034a5cb362
KR_196d874266db86b00d,FAM_d8af1f8e98e9ccd6,KR,,대법원,supreme,2021-01-14,2020다261776,general_negligence_personal_injury,"[""교통사고로 인한 운전자의 과실 손해배상책임"", ""공동소유자들의 손해배상책임"", ""인적·물적 손해에 대한 보험자대위 구상""]",accepted_primary,"[""피고 2는 2015. 7. 22. 21:05경 가해차량을 운전하던 중 중앙선을 침범하여 정상적으로 주행하던 소외 1 운전의 피해차량을 충격하는 교통사고"", ""이 사건 사고로 인해 소외 1은 인적 손해(적극손해, 일실손해 및 위자료 합계 35,285,772원)와 피해차량 파손으로 인한 물적 손해를 입었고, 소외 2(피해차량의 동승자)는 4,928,570원의 인적 손해를 입었다."", ""이 사건 사고로 인한 피고들의 소외 1에 대한 손해배상책임""]",213087,False,ko,672,1143,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,0fb5a5ee7f4690eb43bdc928f5a44f9cbe1676cf3faff219ab087a6259efa413,dd0f110d59fe42b65a76bb26cfe306830183292e52a68d7c87d58bd201c2b9dc,dd0f110d59fe42b65a76bb26cfe306830183292e52a68d7c87d58bd201c2b9dc,c329c0a9db09b4835e7aa8a286142d9a8393ecfc251f8ba053abe44ffc7c1d70
KR_1db22dfee6cc310e77,FAM_13d2fd2f04681bdf,KR,,대법원,supreme,2008-07-24,2007다50663,other_civil_liability,"[""민법 제221조 제1항상 승수의무 위반으로 인한 침수 및 재산상 손해배상책임"", ""불법행위에 따른 손해배상책임""]",accepted_primary,"[""피고가 침수 피해를 방지할 만한 별다른 대책도 없이 성토공사를 하여 이 사건 사업부지 등의 지반고를 높임으로써 원고들의 토지 및 공장으로부터 흘러나오는 우수의 흐름을 막게 된 것이 위와 같은 침수 피해를 입게 된 원인이 되었으며 이는 민법 제221조 제1항에 따른 승수의무를 위반한 것이라고 판단하였는바"", ""불법행위로 인한 손해배상사건에 있어서 과실상계사유에 관한 사실인정이나 그 비율을 정하는 것은""]",64943,False,ko,718,1402,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,cdf879530705b326686f50b6b6329eb58c9506a51227b35c1980168d85ea0b0b,25815a8a37cf5bb9262c1505f199bdea3767b11fc48192033e6eac253c1c1061,25815a8a37cf5bb9262c1505f199bdea3767b11fc48192033e6eac253c1c1061,0f04829c6ddb70565cc4ad5c6c10030fecdb15c712023978dcbaee7009110160
KR_1e296dbb0bcebaab8f,FAM_b878fcc5d2f83089,KR,,대법원,supreme,2016-12-15,2016다237264,other_civil_liability,"[""과실에 의한 진료비 청구서 작성"", ""불법행위에 따른 손해배상"", ""상당인과관계""]",independent_agreement,"[""피고는 이 사건 피보험자들에게 요양급여 대상 진료를 비급여 항목에 해당하는 것으로 기재한 진료비 청구서를 작성하여 교부하고 그 진료비를 지급받았다는 것이고"", ""피고가 이 사건 피보험자들에게 진료비를 청구하면서 주의의무를 다하지 아니한 잘못이 있다고 하더라도""]",184414,False,ko,389,842,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,334e669290c08a9a3d243808b4881b6715c2cdb769ad769abdd755b982bbd200,c8f5abf09ba7b771fb4fdb1d3a10c3d3236d9f8333edda4361dd970dc2adebfb,c8f5abf09ba7b771fb4fdb1d3a10c3d3236d9f8333edda4361dd970dc2adebfb,435faf41f91001e5902321a6bcb8646607f83a3518a51403a7a39b37fe7c035d
KR_21e5cc81eee32db79e,FAM_8583e7ba0ffcaaa5,KR,,대법원,supreme,2002-12-26,2002다50149,general_negligence_personal_injury,"[""일반 불법행위상 과실책임"", ""피해자 과실상계"", ""의료보험자의 구상권 및 보험자대위""]",accepted_primary,"[""피고는 소외 1에게 3층 옥상의 슬라브 공사를 지시하면서 사다리 등을 이용하여 안전하게 옥상에 오르게 하는 등으로 사고를 미연에 방지하여야 할 주의의무를 게을리한 과실이 있으므로, 불법행위자로서 이 사건 사고로 소외 1이 입은 손해를 배상할 책임이 있다."", ""창문이 제대로 고정되어 있지 않아 창문과 함께 지상으로 추락하여 척주 골절 등의 상해를 입었다.""]",600931,False,ko,470,844,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,f3f28fbf687aa40f256e1b3c64bc10b1a853772694a3bfdaf6b358901fac103f,3e2ad87db2ce5e3fb8dd00517d8cfcecb677647169783e23f18927646e08b144,3e2ad87db2ce5e3fb8dd00517d8cfcecb677647169783e23f18927646e08b144,09e76c5f739c3182989c911f5c3d3acd82b3d678e9ba0e6da6561a00af8ea8f8
KR_251ece560a954ca2fc,FAM_54b3081ba209650e,KR,,대법원,supreme,2016-12-15,2015다241228,other_civil_liability,"[""사업보고서 및 감사보고서의 허위기재에 따른 법정 손해배상책임"", ""외부감사인의 감사업무상 과실에 따른 손해배상책임"", ""거래 인과관계 및 손해 인과관계"", ""과실상계 또는 공평의 원칙에 따른 책임제한""]",independent_agreement,"[""구 자본시장법 제162조 제1항에 근거한 사업보고서 등의 거짓 기재로 인한 손해배상책임이나 구 자본시장법 제170조 제1항, 구 외부감사법 제17조 제2항에 근거한 감사보고서의 거짓 기재로 인한 손해배상책임"", ""원심은 그 판시와 같이, 피고 7 회계법인이 과실로 피고 1 회사의 제9기, 제10기 재무제표에 대한 감사보고서에 거짓 기재를 한 데 대하여 구 자본시장법 제170조 제1항, 구 외부감사법 제17조 제2항의 손해배상책임을 인정하였다.""]",184413,False,ko,464,1045,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,367bf03ccc47e90a0854fa7cb906843108e2c8792abdf68dce47494ab951dde7,1badb4c9f7b8c0d3d5d2079e896e57ca06ee83dd327dc429e7e83a950ab60e49,1badb4c9f7b8c0d3d5d2079e896e57ca06ee83dd327dc429e7e83a950ab60e49,e1c5d90d9c443e54d0b0eea14a2c42d94a81c29b7e6fbccb3bd9886025a709c0
