phase,case_id,case_origin,origin_state,primary_domain,input_language,model_requested,model_returned,reasoning_effort,replicate,prompt_version,correct_output_language_pass,no_jurisdiction_supplied_by_prompt_pass,reasoned_judicial_opinion_format_pass,no_obvious_invented_facts_pass,no_obvious_fabricated_authority_pass,no_truncation_refusal_api_corruption_pass,logging_complete_pass,input_hash_pass,response_hash_pass,effort_parameter_transmitted_and_logged_pass,introduced_numbers,invented_placeholders,authority_pattern_hits,opinion_format_signal_count,response_character_count,qc_failures,qc_pass
primary,KR_15f616454feb5baced,KR,,general_negligence_personal_injury,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_15f616454feb5baced,KR,,general_negligence_personal_injury,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_5be8caa54d55da9c2d,KR,,medical_professional_liability,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_5be8caa54d55da9c2d,KR,,medical_professional_liability,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_6e91996913ed443be6,KR,,product_liability,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_6e91996913ed443be6,KR,,product_liability,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_b7cbce3536a0f4f763,KR,,other_civil_liability,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,KR_b7cbce3536a0f4f763,KR,,other_civil_liability,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_1aba36d98e0653f066,US,Michigan,other_civil_liability,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_1aba36d98e0653f066,US,Michigan,other_civil_liability,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_8b84f7c77a2cc4823f,US,Pennsylvania,general_negligence_personal_injury,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_8b84f7c77a2cc4823f,US,Pennsylvania,general_negligence_personal_injury,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_9dc742b4409b555931,US,Nevada,medical_professional_liability,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_9dc742b4409b555931,US,Nevada,medical_professional_liability,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_ca3855b0593ebfc33e,US,West Virginia,product_liability,ko,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,False,True,False,True,True,False,False,True,True,True,,,,0,0,correct_output_language_pass|reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
primary,US_ca3855b0593ebfc33e,US,West Virginia,product_liability,en,gpt-5.6-luna,,medium,1,exp1-court-opinion-v1,True,True,False,True,True,False,False,True,True,True,,,,0,0,reasoned_judicial_opinion_format_pass|no_truncation_refusal_api_corruption_pass|logging_complete_pass,False
