case_id,source_grounding_status,mandatory_factual_sufficiency_status,fact_unit_coverage_status,translation_equivalence_status,language_sanity_status,language_sanity_detail,placeholder_equivalence_status,placeholder_detail,duplicate_sentence_status,duplicate_sentence_detail,legal_leakage_status,procedural_leakage_status,jurisdiction_leakage_status,leakage_detail,numerical_unit_status,number_detail,deterministic_issues,deterministic_review_issues,deterministic_pass,semantic_qc_status,semantic_issues,manual_review_required,final_pass
KR_0dcfdd46d74a8951e1,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":1517,""reason"":null,""status"":""pass""},""ko"":{""hangul"":453,""latin"":220,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[ORGANIZATION_A]"",""[ORGANIZATION_C]"",""[PERSON_A]"",""[PERSON_B]"",""[PERSON_C]"",""[PERSON_D]"",""[PERSON_F]""],""ko"":[""[ORGANIZATION_A]"",""[ORGANIZATION_C]"",""[PERSON_A]"",""[PERSON_B]"",""[PERSON_C]"",""[PERSON_D]"",""[PERSON_F]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",pass,"{""source"":{""11"":2,""12"":3,""1999"":5,""22"":1,""23"":1,""27"":3},""target"":{""11"":2,""12"":3,""1999"":5,""22"":1,""23"":1,""27"":3}}",[],[],True,review,"[""The same substantive claim is duplicated in both final languages, creating redundant factual content.""]",False,False
KR_0f2fb4048fdd1b2ba6,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":1227,""reason"":null,""status"":""pass""},""ko"":{""hangul"":386,""latin"":109,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[INSTITUTION_A]"",""[PERSON_A]""],""ko"":[""[INSTITUTION_A]"",""[PERSON_A]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",pass,"{""source"":{""01"":3,""03"":1,""07"":2,""08"":1,""09"":1,""10"":1,""11"":3,""12"":3,""13"":1,""15.55"":1,""16"":2,""17.56"":1,""1998"":3,""2"":1,""21"":1,""28"":1,""3.81"":1,""4.28"":1,""46"":1,""5.59"":1,""51"":2,""53"":1,""55"":1,""6.5"":1,""7"":1,""74"":1,""8.10"":1,""9.39"":1},""target"":{""01"":3,""03"":1,""07"":2,""08"":1,""09"":1,""10"":1,""11"":3,""12"":3,""13"":1,""15.55"":1,""16"":2,""17.56"":1,""1998"":3,""2"":1,""21"":1,""28"":1,""3.81"":1,""4.28"":1,""46"":1,""5.59"":1,""51"":2,""53"":1,""55"":1,""6.5"":1,""7"":1,""74"":1,""8.10"":1,""9.39"":1}}",[],[],True,pass,[],False,True
KR_12b9dc4aa1ee6e184c,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":817,""reason"":null,""status"":""pass""},""ko"":{""hangul"":244,""latin"":91,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[PERSON_A]"",""[PERSON_B]"",""[PERSON_D]"",""[PERSON_E]""],""ko"":[""[PERSON_A]"",""[PERSON_B]"",""[PERSON_D]"",""[PERSON_E]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",pass,"{""source"":{""6"":1},""target"":{""6"":1}}",[],[],True,review,"[""The English final text adds an unsupported representation relationship for [PERSON_B] by translating \""[PERSON_B] 측 학생들\"" as \""students represented by [PERSON_B].\""""]",False,False
KR_13b881769bf8928779,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":872,""reason"":null,""status"":""pass""},""ko"":{""hangul"":280,""latin"":101,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[INSTITUTION_A]"",""[INSTITUTION_B]"",""[INSTITUTION_C]"",""[LOCATION_A]"",""[LOCATION_B]"",""[PERSON_A]""],""ko"":[""[INSTITUTION_A]"",""[INSTITUTION_B]"",""[INSTITUTION_C]"",""[LOCATION_A]"",""[LOCATION_B]"",""[PERSON_A]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",fail,"{""source"":{""1"":3,""10"":1,""12"":1,""13"":1,""2"":3,""2007"":1,""27"":1,""4"":2,""48"":1,""6"":1,""8"":1},""target"":{""1"":5,""10"":1,""12"":1,""13"":1,""2"":3,""2007"":1,""27"":1,""4"":2,""48"":1,""6"":1,""8"":1}}",[],"[""numerical_unit_status""]",True,pass,[],False,True
KR_15f616454feb5baced,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":484,""reason"":null,""status"":""pass""},""ko"":{""hangul"":174,""latin"":53,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[INSTITUTION_A]"",""[ORGANIZATION_A]"",""[PERSON_A]"",""[PERSON_B]""],""ko"":[""[INSTITUTION_A]"",""[ORGANIZATION_A]"",""[PERSON_A]"",""[PERSON_B]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",fail,"{""source"":{},""target"":{""1"":1}}",[],"[""numerical_unit_status""]",True,pass,[],False,True
KR_196d874266db86b00d,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":1172,""reason"":null,""status"":""pass""},""ko"":{""hangul"":328,""latin"":292,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[COMPANY_A]"",""[COMPANY_B]"",""[CURRENCY_AMOUNT_A]"",""[PERSON_A]"",""[PERSON_B]"",""[PERSON_C]"",""[PERSON_D]"",""[VEHICLE_A]"",""[VEHICLE_B]""],""ko"":[""[COMPANY_A]"",""[COMPANY_B]"",""[CURRENCY_AMOUNT_A]"",""[PERSON_A]"",""[PERSON_B]"",""[PERSON_C]"",""[PERSON_D]"",""[VEHICLE_A]"",""[VEHICLE_B]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",pass,"{""source"":{""05"":2,""2015"":2,""21"":2,""22"":2,""7"":2},""target"":{""05"":2,""2015"":2,""21"":2,""22"":2,""7"":2}}",[],[],True,review,"[""The final record contains substantial factual duplication in both languages, including the collision, accident time, and resulting injuries/damage.""]",False,False
KR_1db22dfee6cc310e77,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":1069,""reason"":null,""status"":""pass""},""ko"":{""hangul"":331,""latin"":141,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[INSTITUTION_A]"",""[LOCATION_A]"",""[PERSON_A]"",""[PERSON_B]"",""[PROPERTY_A]""],""ko"":[""[INSTITUTION_A]"",""[LOCATION_A]"",""[PERSON_A]"",""[PERSON_B]"",""[PROPERTY_A]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",pass,"{""source"":{""10.63"":1,""10.8"":1,""10.96"":1,""11.03"":1,""12"":1,""13"":1,""172"":1,""179"":1,""2000"":1,""2003"":1,""2006"":1,""352"":1,""368,000"":1,""67,000"":1,""7.64"":1,""9"":2},""target"":{""10.63"":1,""10.8"":1,""10.96"":1,""11.03"":1,""12"":1,""13"":1,""172"":1,""179"":1,""2000"":1,""2003"":1,""2006"":1,""352"":1,""368,000"":1,""67,000"":1,""7.64"":1,""9"":2}}",[],[],True,pass,[],False,True
KR_1e296dbb0bcebaab8f,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":970,""reason"":null,""status"":""pass""},""ko"":{""hangul"":236,""latin"":151,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[COMPANY_A]"",""[PERSON_A]""],""ko"":[""[COMPANY_A]"",""[PERSON_A]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",fail,"{""source"":{},""target"":{""1"":1}}",[],"[""numerical_unit_status""]",True,review,"[""The final factual content duplicates the additional insurance payment without clearly distinguishing a separate payment or event.""]",False,False
KR_21e5cc81eee32db79e,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":651,""reason"":null,""status"":""pass""},""ko"":{""hangul"":184,""latin"":140,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[CURRENCY_AMOUNT_A]"",""[CURRENCY_AMOUNT_B]"",""[CURRENCY_AMOUNT_C]"",""[INSTITUTION_A]"",""[INSTITUTION_B]"",""[INSTITUTION_C]"",""[PERSON_A]"",""[PERSON_B]""],""ko"":[""[CURRENCY_AMOUNT_A]"",""[CURRENCY_AMOUNT_B]"",""[CURRENCY_AMOUNT_C]"",""[INSTITUTION_A]"",""[INSTITUTION_B]"",""[INSTITUTION_C]"",""[PERSON_A]"",""[PERSON_B]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",fail,"{""source"":{""10"":1,""12"":1,""18"":1,""1990"":2,""2"":1,""3"":2,""6"":1,""73"":1},""target"":{""00"":1,""10"":1,""12"":1,""18"":1,""1990"":2,""2"":1,""3"":2,""6"":1,""73"":1}}",[],"[""numerical_unit_status""]",True,pass,[],False,True
KR_251ece560a954ca2fc,pass,pass,pass,pass,pass,"{""en"":{""hangul"":0,""latin"":931,""reason"":null,""status"":""pass""},""ko"":{""hangul"":254,""latin"":145,""reason"":null,""status"":""pass""}}",pass,"{""en"":[""[COMPANY_A]"",""[COMPANY_B]"",""[COMPANY_C]"",""[ORGANIZATION_A]"",""[ORGANIZATION_B]""],""ko"":[""[COMPANY_A]"",""[COMPANY_B]"",""[COMPANY_C]"",""[ORGANIZATION_A]"",""[ORGANIZATION_B]""],""status"":""pass""}",pass,"{""en"":{""duplicates"":[],""status"":""pass""},""ko"":{""duplicates"":[],""status"":""pass""}}",pass,pass,pass,"{""en"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}},""ko"":{""jurisdiction_leakage_evidence"":[],""jurisdiction_leakage_status"":""pass"",""legal_leakage_evidence"":[],""legal_leakage_status"":""pass"",""procedural_leakage_status"":""pass"",""strict_leakage_evidence"":{""currency"":[],""customary_unit"":[],""jurisdiction_placeholder"":[],""kr_institution"":[],""legal_conclusion"":[],""procedural"":[]}}}",pass,"{""source"":{""10"":1,""9"":1},""target"":{""10"":1,""9"":1}}",[],[],True,review,"[""The final text retains a litigation posture: it states that [ORGANIZATION_A] filed or asserted a damages claim against [ORGANIZATION_B].""]",False,False
