case_id,origin_country,origin_state,old_primary_domain,new_primary_domain,changed,confidence,review_status,evidence_excerpt,eligible_main_corpus
KR_15f616454feb5baced,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,유도부 지도교사들이 이러한 주의의무를 게을리한 과실로 인해 원고가 상해를 입었다고 판단하였다.,True
KR_2938a7d8dec5b2a57e,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,"원심은 판시와 같이, 이 사건 사고가 이 사건 기중기 운전자인 피고 2의 조작상 과실로 발생하였기에 피고 회사 및 주식회사 군장종합건설(이하 ‘군장종합건설’이라 한다)은 모두 피고 2의 사용자로서 피해자들에 대하여 사용자책임을 부담하고, 그 각 사용자책임과 피고 2의 손해배상책임이 부진정연대채무관계임을 인정하면서도, 피고들과의 내부 관계에서 군장종합건설의 부담 부분은 존재하지 않는다고 보아, 피고들이 공동하여 군장종합건설의 구상권을 대위취득한 원고에게 상법 제682조에 따라 지급 보험금 4,260만 원 전액에 관한 구상의무를 부담한다고 하였다.",True
KR_92b1ce3452f5861ba4,KR,,general_negligence_personal_injury,,True,high,independent_agreement,,False
KR_c6d493a48f0b6b6912,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,이 사건 사고를 일으킨 버스 운전사,True
KR_f92051e8c5598d8ccc,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,"등기관의 과실로 인하여, 그 자체로는 받아들여질 수 없었던 대신증권의 근저당권설정등기가 먼저 경료되어 버린 반면 원고의 근저당권설정등기는 후순위로 밀려나게 되었고",True
KR_16747477bbb419c699,KR,,general_negligence_personal_injury,,True,high,independent_agreement,,False
KR_94e863154231995db3,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,불법행위에 있어서 과실상계는 공평 내지 신의칙의 견지에서 손해배상액을 정함에 있어 피해자의 과실을 참작하는 것,True
KR_c9b0b61cc030200a6a,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,이러한 주의의무를 게을리한 채 조합원에게 원자재를 구매ㆍ공급해 주어 그로 말미암아 협동조합이 손해를 입게 된 경우에는 협동조합에게 그 손해를 배상할 책임이 있다.,True
KR_d0cfadb984b62f020b,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,이 사건 사고는 이 사건 항공기의 운항승무원들의 전적인 과실에 의하여 발생하였고 피해자 승객들에게는 아무런 과실이 없는 것으로 보이는 점,True
KR_0dcfdd46d74a8951e1,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,이사장의 임무를 해태한 데에 중대한 과실이 있는 경우에는 조합에 대하여 손해배상책임을 진다고 할 것이고,True
KR_655f2386b561c2a84a,KR,,general_negligence_personal_injury,,True,high,independent_agreement,,False
KR_d5131e7c37df509266,KR,,general_negligence_personal_injury,,True,high,independent_agreement,이 사건에서와 같이 하나의 사고에 관하여 여러 개의 무보험자동차특약보험계약이 체결되고,False
KR_29de6fa2d32993658e,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,원고 1은 2014. 6. 19. 피고와 근로계약을 체결하고 피고의 송전선로 건설공사 현장 철탑 상부에서 작업하고 내려오던 중 지상 약 19.5m 높이에서 추락하여 뇌손상 등 상해를 입었다.,True
KR_61112d3135e80de786,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,이른바 항공기사고로 인한 불법행위의 경우에는 통상의 교통사고와 달리 위자료 산정에 있어 참작되어야 할 다음과 같은 특수한 사정이 있다.,True
KR_ce03d7157e09c4d242,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,adjudicated,피고들에게는 이 사건 정부양곡 매수 당시 위 정부양곡의 출처를 확인하고 포장상태를 검사하는 등의 방법으로 매수하려는 조곡이 불법 출고된 정부수매양곡인지 아니면 소외 1을 대리한 소외 2가 판매하려고 자체적으로 보관하여 온 것인지 여부를 확인하여야 할 주의의무가 있음에도 이를 게을리한 과실이 있고,True
KR_bd5712bcc29293f8e7,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,이사가 위와 같은 임무를 게을리한 경우에는 회사에 대하여 손해를 배상할 책임이 있다(상법 제399조 제1항).,True
KR_934df9d2f48650c256,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,"이 사건 충돌 사고로 ◇◇◇☆☆호가 전복되어 선장 소외 4를 비롯하여 선원 7명이 실종되어 사망하였으며, 선원 소외 6은 저산소성 뇌병증 등의 상해를 입은 채로 해양경찰에 의해 구조된 사실",True
KR_c7ec53e12d00dabce6,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,토지의 소유자 등이 종전부터 향유하던 일조이익(日照利益)이 객관적인 생활이익으로서 가치가 있다고 인정되면 법적인 보호의 대상이 될 수 있는데,True
KR_d9b3ee3b261df8b463,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,"이 사건 사고로 소외 1과 이 사건 차량의 동승자 2명이 사망하고, 이 사건 차량의 나머지 동승자 소외 2(소외 1의 처)와 소외 3, 피해버스의 운전자와 승객 14명이 상해를 입었다.",True
KR_7be1ae9174eea5f5f2,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,자동차 대리운전 회사인 베스트카코리아 사이의 대리운전약정에 따라 위 회사의 직원인 석동민이 이 사건 차량을 운전하다가 경부고속도로에서 판시와 같은 사고를 야기한 것이라면,True
KR_ac6643f28f1a875a1b,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,"망인이 사망에 이르게 되었으므로, 피고는 망인과 원고들이 입은 손해를 배상할 책임이 있다고 판단하였다.",True
KR_21e5cc81eee32db79e,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,"피고는 소외 1에게 3층 옥상의 슬라브 공사를 지시하면서 사다리 등을 이용하여 안전하게 옥상에 오르게 하는 등으로 사고를 미연에 방지하여야 할 주의의무를 게을리한 과실이 있으므로, 불법행위자로서 이 사건 사고로 소외 1이 입은 손해를 배상할 책임이 있다.",True
KR_b24448d722a0190549,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,"피고 산하 군수사기관인 헌병대가 철저히 현장을 보존하고 이 사건 사고의 내용과 원인을 면밀히 조사하여 실체적 진실을 규명하여야 할 직무상 의무를 위반하였으므로, 피고는 이러한 위법행위로 인한 손해를 배상할 책임이 있다고 판단하였다.",True
KR_b7d634c2e03993e164,KR,,general_negligence_personal_injury,general_negligence_personal_injury,False,high,accepted_primary,학교에서의 교육활동 및 이와 밀접불가분의 관계에 있는 생활관계에 한하며,True
KR_68e0deec401c3edd58,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,제3자의 채권침해가 반드시 언제나 불법행위로 되는 것은 아니고,True
KR_7f8df551c38264fcbe,KR,,general_negligence_personal_injury,other_civil_liability,True,high,independent_agreement,국가배상책임에 있어 공무원의 가해행위는 법령을 위반한 것이어야 하고,True
