case_id,source_dataset,source_config,source_record_id,origin_country,origin_state,court_name,court_level,court_level_confidence,court_level_evidence,case_number,case_code,case_number_confidence,case_number_evidence,decision_date,decision_date_confidence,decision_date_evidence,case_domain,case_domain_confidence,case_domain_evidence,fact_has_parties,fact_has_conduct,fact_has_context,fact_has_timeline,fact_has_harm,fact_has_causation,fact_has_defense_context,fact_sufficiency_score,factual_background_sufficient,civil_liability_evidence,main_opinion_type,opinion_selection_reason,has_concurrence,has_dissent,raw_text_sha256,raw_text_chars,strict_source_eligible,exclusion_reasons,lower_court_supplemented,lower_court_case_ids,lower_court_supplementation_status,lower_court_link_confidence,lower_court_link_evidence,case_family_id,highest_court_case_id
KR_249ed8a4318453b2b2,lbox/lbox_open,precedent_corpus,6,KR,,,unknown,low,[],,,low,[],,low,[],general_negligence_personal_injury,high,"[""상해""]",True,True,True,True,True,True,False,6,True,"[""상해""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,ea70672e9751cf26842eb1737cd0e02e86004f2c900978df4aa312fd0aa884bb,1055,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:criminal_case"",""opinion_text_too_short""]",False,[],not_attempted,none,[],FAM_adfdb2ca5140706d,KR_249ed8a4318453b2b2
KR_7bf98f5e8ae3d52886,lbox/lbox_open,precedent_corpus,8,KR,,,unknown,low,[],,,low,[],,low,[],medical_professional_liability,medium,"[""의사""]",True,True,True,True,False,True,True,6,False,"[""불법행위""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,97fc7a3879d64eed0d336dcb9799c944a2e2c2abb0334ed857f6b67b349e2d21,5904,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:criminal_case"",""fact_insufficient_before_supplementation""]",False,[],not_attempted,none,[],FAM_3edff5db43171bdc,KR_7bf98f5e8ae3d52886
KR_3677c9da6fdeb5d6f1,lbox/lbox_open,precedent_corpus,9,KR,,대법원,supreme,medium,"[""supreme_disposition"",""supreme_reasoning_marker""]",,,low,[],,low,[],medical_professional_liability,high,"[""의사""]",True,True,False,True,True,False,True,5,True,"[""손해배상""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,8aa3cf55e683358c8e407bbf308971c6542b1356421ae6165646e7fb0c85d0cf,2794,False,"[""not_high_confidence_supreme"",""decision_date_unknown""]",False,[],not_attempted,none,[],FAM_a8cb63ff03005b97,KR_3677c9da6fdeb5d6f1
KR_aa4916746571ca798b,lbox/lbox_open,precedent_corpus,27,KR,,대법원,supreme,medium,"[""supreme_disposition"",""supreme_reasoning_marker""]",,,low,[],,low,[],general_negligence_personal_injury,high,"[""상해"",""사망""]",True,True,True,True,True,True,True,7,True,"[""상해"",""사망""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,ab62796ed1e82cd04991b78d738b0732821c4dd8b193386fdb7eda764939348e,3070,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""incidental:insurance_only""]",False,[],not_attempted,none,[],FAM_a93a4b60800e35f1,KR_aa4916746571ca798b
KR_30f38b333d35f9b095,lbox/lbox_open,precedent_corpus,28,KR,,,unknown,low,"[""supreme_reasoning_marker""]",,,low,[],,low,[],medical_professional_liability,high,"[""진료""]",True,True,True,True,True,True,False,6,True,"[""손해배상""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,f4c35b9690a9c5c08353eb2e61b0e41490abac9389629c3cc4f031307a6066c8,1716,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:criminal_case""]",False,[],not_attempted,none,[],FAM_9bc800ed3cc121bf,KR_30f38b333d35f9b095
KR_ddbae9c5b0651fae55,lbox/lbox_open,precedent_corpus,33,KR,,,unknown,low,[],,,low,[],,low,[],general_negligence_personal_injury,high,"[""교통사고"",""상해""]",True,True,True,True,True,True,True,7,True,"[""상해"",""주의의무"",""과실""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,f6febd82022b088234cb845def7a05180695165c64df8e894a0ffaf9acf2d4fc,3516,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:criminal_case""]",False,[],not_attempted,none,[],FAM_97a14465c0f5821f,KR_ddbae9c5b0651fae55
KR_57b68f4dc4d83ac4fb,lbox/lbox_open,precedent_corpus,36,KR,,,unknown,low,"[""supreme_disposition""]",,,low,[],,low,[],general_negligence_personal_injury,medium,"[""상해""]",True,True,True,True,True,False,True,6,True,"[""상해""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,8e6d64142f8ed66d11c4daf092900929b160f4c611760b95d1478c20788bd9a7,941,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:criminal_case"",""opinion_text_too_short""]",False,[],not_attempted,none,[],FAM_6135031d50662fbf,KR_57b68f4dc4d83ac4fb
KR_d7bf9387205986b316,lbox/lbox_open,precedent_corpus,37,KR,,,unknown,low,[],,,low,[],,low,[],general_negligence_personal_injury,high,"[""사망""]",True,True,False,True,True,True,True,6,True,"[""사망""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,152d28a16620cce708894159bf4e12a14c1838d7eef285bb5125e234c8ff4f37,1558,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:administrative_only""]",False,[],not_attempted,none,[],FAM_d7e4d93f1046cab0,KR_d7bf9387205986b316
KR_6bab8000c90d531a2d,lbox/lbox_open,precedent_corpus,41,KR,,,unknown,low,[],,,low,[],,low,[],medical_professional_liability,high,"[""의사""]",True,True,True,True,True,True,True,7,True,"[""상해"",""손해배상""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,9a46c61b53ecaa44d74de7c23fc33378392785093bf0476376724f3fee748213,13858,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""incidental:contract_only""]",False,[],not_attempted,none,[],FAM_ec8b7a4362728f07,KR_6bab8000c90d531a2d
KR_303b2259f918854c1c,lbox/lbox_open,precedent_corpus,48,KR,,,unknown,low,[],,,low,[],,low,[],medical_professional_liability,high,"[""의사""]",True,True,True,True,True,True,False,6,True,"[""사망""]",court_opinion,LBox precedent_corpus provides one opinion text field,False,False,1299942509e05087ca0c9da092a9e8800fba198f70139fc8f6ce8fc8a9335d5b,949,False,"[""not_high_confidence_supreme"",""decision_date_unknown"",""not_civil_liability_candidate"",""incidental:criminal_case"",""opinion_text_too_short""]",False,[],not_attempted,none,[],FAM_f4422db5bed6dcc3,KR_303b2259f918854c1c
